key,window_points_requested,window_points,window_start_generated_at,window_end_generated_at,window_start_commit,window_end_commit,guest_tok_per_s_points,guest_tok_per_s_min,guest_tok_per_s_median,guest_tok_per_s_max,guest_tok_per_s_cv_pct,guest_tok_per_s_delta_pct,wall_tok_per_s_points,wall_tok_per_s_min,wall_tok_per_s_median,wall_tok_per_s_max,wall_tok_per_s_cv_pct,wall_tok_per_s_delta_pct,max_memory_points,max_memory_bytes_min,max_memory_bytes_median,max_memory_bytes_max,max_memory_cv_pct,max_memory_delta_pct,window_start_source,window_end_source
-/-/-/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,5,5,2026-04-28T22:30:47Z,2026-04-29T13:36:47Z,,,0,,,,,,0,,,,,,0,,,,,,bench/results/qemu_prompt_bench_dry_run_20260428T223047Z.json,bench/results/qemu_prompt_bench_dry_run_latest.json
ci-airgap-smoke/synthetic-smoke/Q4_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,5,5,2026-04-29T09:44:56Z,2026-04-29T11:32:34Z,b397ba037624,11606add1d46,5,160.0,160.0,160.0,0.0,0.0,5,106.74102407458236,610.2771864682886,676.0799919547803,44.52368904048536,-82.50941925384771,5,67207168.0,67207168.0,67207168.0,0.0,0.0,bench/results/bench_matrix_20260429T094455Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,bench/results/qemu_prompt_bench_latest.json
ci-airgap-smoke/synthetic-smoke/Q4_0/no-suite,5,4,2026-04-27T18:29:11Z,2026-04-27T18:40:01Z,21ad93152049,5bf1fd7158fd,4,160.0,160.0,160.0,0.0,0.0,0,,,,,,4,67207168.0,67207168.0,67207168.0,0.0,0.0,bench/results/bench_matrix_20260427T182910Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_20260427T182911Z.json,bench/results/bench_matrix_20260427T183959Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json
ci-airgap-smoke/synthetic-smoke/Q8_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,5,5,2026-04-28T22:52:57Z,2026-04-29T09:44:56Z,825b6d95f7f1,b397ba037624,5,160.0,160.0,160.0,0.0,0.0,5,741.7273624599818,741.7273624599818,896.6050881233355,9.440875243363807,-17.273795087146432,5,67207168.0,67207168.0,67207168.0,0.0,0.0,bench/results/bench_matrix_20260428T225257Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_20260428T225257Z.json,bench/results/bench_matrix_latest.json
ci-airgap-smoke/synthetic-smoke/Q8_0/no-suite,5,4,2026-04-27T18:29:11Z,2026-04-27T18:40:01Z,21ad93152049,5bf1fd7158fd,4,160.0,160.0,160.0,0.0,0.0,0,,,,,,4,67207168.0,67207168.0,67207168.0,0.0,0.0,bench/results/bench_matrix_20260427T182910Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_20260427T182911Z.json,bench/results/bench_matrix_20260427T183959Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json
synthetic-airgap-smoke/synthetic-smoke/Q4_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,5,5,2026-04-28T14:28:10Z,2026-04-29T01:20:02Z,757d8ba7addc,756c0a850ab9,5,160.0,160.0,160.0,0.0,0.0,5,198.8883435877808,626.0538723100858,786.125813946996,36.4786885282381,295.2598728341431,5,67207168.0,67207168.0,67207168.0,0.0,0.0,bench/results/qemu_prompt_bench_20260428T142810Z.json,bench/results/qemu_prompt_bench_20260429T012002Z.json
synthetic-airgap-smoke/synthetic-smoke/Q4_0/no-suite,5,5,2026-04-27T16:12:59Z,2026-04-27T19:22:32Z,85cce7c2f224,708be92b565a,5,160.0,160.0,160.0,0.0,0.0,0,,,,,,4,67207168.0,67207168.0,67207168.0,0.0,,bench/results/qemu_prompt_bench_20260427T161259Z.json,bench/results/qemu_prompt_bench_20260427T192232Z.json
