source,name,status,generated_at,findings,summary_keys,error
bench/dashboards/perf_regression_latest.json,perf_regression,pass,2026-04-29T19:10:17Z,0,,
bench/dashboards/perf_slo_audit_latest.json,perf_slo_audit,pass,2026-04-30T00:02:49Z,0,"commits,failed_rows,failure_pct,findings,metrics,models,profiles,quantizations,rows",
bench/dashboards/bench_trend_export_latest.json,bench_trend_export,pass,2026-04-29T13:50:27Z,0,,
