source,name,status,generated_at,summary_rows,summary_findings,sidecars_checked,sidecars_missing
bench/dashboards/perf_regression_latest.json,perf_regression,pass,2026-04-29T19:10:17Z,,,3,0
bench/dashboards/perf_slo_audit_latest.json,perf_slo_audit,pass,2026-04-30T00:02:49Z,4,0,3,0
