profile,model,quantization,prompt,samples,tokens_total,wall_elapsed_us_p50,wall_elapsed_us_p95,ttft_us_p50,ttft_us_p95,wall_us_per_token_p50,wall_us_per_token_p95,wall_tok_per_s_p50,wall_tok_per_s_p05,sources
ci-airgap-smoke,synthetic-smoke,Q4_0,smoke-code,2,96,147086.5,162699.25,12400.0,12400.0,3064.3020833333335,3389.5677083333335,330.9419972274646,295.81358865690845,bench/results/qemu_prompt_bench_latest.json
ci-airgap-smoke,synthetic-smoke,Q4_0,smoke-short,2,64,275339.0,310181.6,11600.0,11600.0,8604.34375,9693.175,118.56435300861538,103.56070177817587,bench/results/qemu_prompt_bench_latest.json
