generated_at,profile,model,quantization,commit,prompt_suite_sha256,command_sha256,serial_output_rank,prompt,prompt_bytes,runs,ok_runs,failed_runs,tokens_median,serial_output_bytes_total,serial_output_bytes_max,serial_output_lines_total,serial_output_lines_max,wall_elapsed_us_median,wall_tok_per_s_median,exit_class_ok_runs,exit_class_timeout_runs,exit_class_launch_error_runs,exit_class_nonzero_exit_runs
2026-04-29T20:39:14Z,ci-airgap-smoke,synthetic-smoke,Q4_0,17aecb6b56a3,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,633b78c56d2f2d5c6739b10ca9b48d66a6bb83328887ac7aceabb4ab48fd1c96,1,smoke-code,71,2,2,0,48.0,430,215,2,1,83409.0,615.1539252165938,2,0,0,0
2026-04-29T20:39:14Z,ci-airgap-smoke,synthetic-smoke,Q4_0,17aecb6b56a3,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,633b78c56d2f2d5c6739b10ca9b48d66a6bb83328887ac7aceabb4ab48fd1c96,2,smoke-short,49,2,2,0,32.0,430,215,2,1,76866.0,420.86201074444125,2,0,0,0
