source,status,generated_at,expected_history,expected_history_present,latest_sha256,history_sha256,hashes_match,history_count,newest_history,error
bench/results/bench_matrix_20260427T182910Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,pass,2026-04-27T18:29:11Z,bench/results/bench_matrix_20260427T182910Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_20260427T182911Z.json,True,f03e0a4784e2b1ac18934cd66392573425b9a42378ee334584bf89de847dfcc0,f03e0a4784e2b1ac18934cd66392573425b9a42378ee334584bf89de847dfcc0,True,1,bench/results/bench_matrix_20260427T182910Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_20260427T182911Z.json,
bench/results/bench_matrix_20260427T182910Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,pass,2026-04-27T18:29:11Z,bench/results/bench_matrix_20260427T182910Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_20260427T182911Z.json,True,8b5db103026c546742ed5490b3bb87d2c30f73158d3c65b662759927cfd0c72e,8b5db103026c546742ed5490b3bb87d2c30f73158d3c65b662759927cfd0c72e,True,1,bench/results/bench_matrix_20260427T182910Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_20260427T182911Z.json,
bench/results/bench_matrix_20260427T183959Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,pass,2026-04-27T18:40:01Z,bench/results/bench_matrix_20260427T183959Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_20260427T184001Z.json,True,5e580cae597218ed4c77404ea007ff632cb934f6e05707e7b4b4059e963ae3c1,5e580cae597218ed4c77404ea007ff632cb934f6e05707e7b4b4059e963ae3c1,True,1,bench/results/bench_matrix_20260427T183959Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_20260427T184001Z.json,
bench/results/bench_matrix_20260427T183959Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,pass,2026-04-27T18:40:01Z,bench/results/bench_matrix_20260427T183959Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_20260427T184001Z.json,True,d51ebd04a54d9ed8ebc4cf0324fc047011e4aed5576e981439ac14eb2a488754,d51ebd04a54d9ed8ebc4cf0324fc047011e4aed5576e981439ac14eb2a488754,True,1,bench/results/bench_matrix_20260427T183959Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_20260427T184001Z.json,
bench/results/bench_matrix_20260427T200249Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,pass,2026-04-27T20:02:50Z,bench/results/bench_matrix_20260427T200249Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_20260427T200250Z.json,True,b0184d191ade2f3b0d3caac2b900db4023204980e280399082d0f0cc7890d7ae,b0184d191ade2f3b0d3caac2b900db4023204980e280399082d0f0cc7890d7ae,True,1,bench/results/bench_matrix_20260427T200249Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_20260427T200250Z.json,
bench/results/bench_matrix_20260427T200249Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,pass,2026-04-27T20:02:50Z,bench/results/bench_matrix_20260427T200249Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_20260427T200250Z.json,True,e8546ee5292356be14a0693bb8785f4013ffcbe613c5a207b832842e2501a1b6,e8546ee5292356be14a0693bb8785f4013ffcbe613c5a207b832842e2501a1b6,True,1,bench/results/bench_matrix_20260427T200249Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_20260427T200250Z.json,
bench/results/bench_matrix_20260427T230733Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,pass,2026-04-27T23:07:34Z,bench/results/bench_matrix_20260427T230733Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_20260427T230734Z.json,True,4c0b912cbc5a9fa0e1b955680958a589bc7fd241f9d3fad5d000dee0ef8093ea,4c0b912cbc5a9fa0e1b955680958a589bc7fd241f9d3fad5d000dee0ef8093ea,True,1,bench/results/bench_matrix_20260427T230733Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_20260427T230734Z.json,
bench/results/bench_matrix_20260427T230733Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,pass,2026-04-27T23:07:34Z,bench/results/bench_matrix_20260427T230733Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_20260427T230734Z.json,True,2ad12ced1a3e7c9849466b0aba1c9ba954bb2257295b3c9907efb5e31af3c9d9,2ad12ced1a3e7c9849466b0aba1c9ba954bb2257295b3c9907efb5e31af3c9d9,True,1,bench/results/bench_matrix_20260427T230733Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_20260427T230734Z.json,
bench/results/bench_matrix_20260427T234738Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,pass,2026-04-27T23:47:38Z,bench/results/bench_matrix_20260427T234738Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_20260427T234738Z.json,True,bede6dd70b15c798c29bc9fd453ddb63278d2c4d95281fd10dabb17282fa797c,bede6dd70b15c798c29bc9fd453ddb63278d2c4d95281fd10dabb17282fa797c,True,1,bench/results/bench_matrix_20260427T234738Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_20260427T234738Z.json,
bench/results/bench_matrix_20260427T234738Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,pass,2026-04-27T23:47:38Z,bench/results/bench_matrix_20260427T234738Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_20260427T234738Z.json,True,963042e43a3e6fd24e1396dfaa2b88406e323d5afdcd746b8183c7f442c125df,963042e43a3e6fd24e1396dfaa2b88406e323d5afdcd746b8183c7f442c125df,True,1,bench/results/bench_matrix_20260427T234738Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_20260427T234738Z.json,
bench/results/bench_matrix_20260428T000109Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,pass,2026-04-28T00:01:10Z,bench/results/bench_matrix_20260428T000109Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_20260428T000110Z.json,True,283d6759e0362267a519ca4a7576164e48d3cf53e04b958733e321718911d0bf,283d6759e0362267a519ca4a7576164e48d3cf53e04b958733e321718911d0bf,True,1,bench/results/bench_matrix_20260428T000109Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_20260428T000110Z.json,
bench/results/bench_matrix_20260428T000109Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,pass,2026-04-28T00:01:11Z,bench/results/bench_matrix_20260428T000109Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_20260428T000111Z.json,True,5c217161fa9dbeb8cecec3e4e632602787f440f2173e83a5c9d27e6d8469df8a,5c217161fa9dbeb8cecec3e4e632602787f440f2173e83a5c9d27e6d8469df8a,True,1,bench/results/bench_matrix_20260428T000109Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_20260428T000111Z.json,
bench/results/bench_matrix_20260428T023335Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,pass,2026-04-28T02:33:36Z,bench/results/bench_matrix_20260428T023335Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_20260428T023336Z.json,True,a7eaf899046d4d567f20a08b3c4d0408a09cf7565cab7957ccbfba07b586522b,a7eaf899046d4d567f20a08b3c4d0408a09cf7565cab7957ccbfba07b586522b,True,1,bench/results/bench_matrix_20260428T023335Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_20260428T023336Z.json,
