source,row,scope,phase,prompt,argv0,argv0_basename,environment_qemu_bin,environment_qemu_path,absolute_argv0
/var/folders/4j/3p5ff_fx0z919sk7msl_kgh40000gn/T/holyc-qemu-executable-audit-xe_t83bo/qemu_prompt_bench_pass.json,0,artifact,top,,/opt/homebrew/bin/qemu-system-x86_64,qemu-system-x86_64,qemu-system-x86_64,/opt/homebrew/bin/qemu-system-x86_64,True
/var/folders/4j/3p5ff_fx0z919sk7msl_kgh40000gn/T/holyc-qemu-executable-audit-xe_t83bo/qemu_prompt_bench_pass.json,1,benchmarks,measured,smoke-short,/opt/homebrew/bin/qemu-system-x86_64,qemu-system-x86_64,qemu-system-x86_64,/opt/homebrew/bin/qemu-system-x86_64,True
