generated_at,profile,model,quantization,commit,prompt_suite_sha256,command_sha256,failure_rank,prompt,prompt_bytes,runs,ok_runs,failed_runs,ok_run_pct,timed_out_runs,nonzero_exit_runs,exit_class_ok_runs,exit_class_timeout_runs,exit_class_launch_error_runs,exit_class_nonzero_exit_runs,tokens_median,wall_elapsed_us_median,wall_tok_per_s_median,serial_output_bytes_total,serial_output_lines_total
2026-05-01T23:04:12Z,ci-airgap-smoke,synthetic-smoke,Q4_0,a70776642a09,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,633b78c56d2f2d5c6739b10ca9b48d66a6bb83328887ac7aceabb4ab48fd1c96,1,smoke-code,71,2,2,0,100.0,0,0,2,0,0,0,48.0,578396.5,83.15334416032798,430,2
2026-05-01T23:04:12Z,ci-airgap-smoke,synthetic-smoke,Q4_0,a70776642a09,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,633b78c56d2f2d5c6739b10ca9b48d66a6bb83328887ac7aceabb4ab48fd1c96,2,smoke-short,49,2,2,0,100.0,0,0,2,0,0,0,32.0,635409.0,50.92251676389725,430,2
