source,status,generated_at,filename_stamp,row_count,parsed_row_timestamps,earliest_row_timestamp,latest_row_timestamp,max_row_skew_seconds,min_row_skew_seconds,error
bench/results/bench_matrix_20260427T182910Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_20260427T182911Z.json,pass,2026-04-27T18:29:11Z,20260427T182911Z,4,4,2026-04-27T18:29:10Z,2026-04-27T18:29:11Z,0.0,-1.0,
bench/results/bench_matrix_20260427T182910Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,pass,2026-04-27T18:29:11Z,,4,4,2026-04-27T18:29:10Z,2026-04-27T18:29:11Z,0.0,-1.0,
bench/results/bench_matrix_20260427T182910Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_20260427T182911Z.json,pass,2026-04-27T18:29:11Z,20260427T182911Z,4,4,2026-04-27T18:29:11Z,2026-04-27T18:29:11Z,0.0,0.0,
bench/results/bench_matrix_20260427T182910Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,pass,2026-04-27T18:29:11Z,,4,4,2026-04-27T18:29:11Z,2026-04-27T18:29:11Z,0.0,0.0,
bench/results/bench_matrix_20260427T183959Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_20260427T184001Z.json,pass,2026-04-27T18:40:01Z,20260427T184001Z,4,4,2026-04-27T18:40:00Z,2026-04-27T18:40:01Z,0.0,-1.0,
bench/results/bench_matrix_20260427T183959Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,pass,2026-04-27T18:40:01Z,,4,4,2026-04-27T18:40:00Z,2026-04-27T18:40:01Z,0.0,-1.0,
bench/results/bench_matrix_20260427T183959Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_20260427T184001Z.json,pass,2026-04-27T18:40:01Z,20260427T184001Z,4,4,2026-04-27T18:40:01Z,2026-04-27T18:40:01Z,0.0,0.0,
bench/results/bench_matrix_20260427T183959Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,pass,2026-04-27T18:40:01Z,,4,4,2026-04-27T18:40:01Z,2026-04-27T18:40:01Z,0.0,0.0,
bench/results/bench_matrix_20260427T200249Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_20260427T200250Z.json,pass,2026-04-27T20:02:50Z,20260427T200250Z,4,4,2026-04-27T20:02:50Z,2026-04-27T20:02:50Z,0.0,0.0,
bench/results/bench_matrix_20260427T200249Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,pass,2026-04-27T20:02:50Z,,4,4,2026-04-27T20:02:50Z,2026-04-27T20:02:50Z,0.0,0.0,
bench/results/bench_matrix_20260427T200249Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_20260427T200250Z.json,pass,2026-04-27T20:02:50Z,20260427T200250Z,4,4,2026-04-27T20:02:50Z,2026-04-27T20:02:50Z,0.0,0.0,
bench/results/bench_matrix_20260427T200249Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,pass,2026-04-27T20:02:50Z,,4,4,2026-04-27T20:02:50Z,2026-04-27T20:02:50Z,0.0,0.0,
bench/results/bench_matrix_20260427T230733Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_20260427T230734Z.json,pass,2026-04-27T23:07:34Z,20260427T230734Z,4,4,2026-04-27T23:07:33Z,2026-04-27T23:07:34Z,0.0,-1.0,
bench/results/bench_matrix_20260427T230733Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,pass,2026-04-27T23:07:34Z,,4,4,2026-04-27T23:07:33Z,2026-04-27T23:07:34Z,0.0,-1.0,
bench/results/bench_matrix_20260427T230733Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_20260427T230734Z.json,pass,2026-04-27T23:07:34Z,20260427T230734Z,4,4,2026-04-27T23:07:34Z,2026-04-27T23:07:34Z,0.0,0.0,
bench/results/bench_matrix_20260427T230733Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,pass,2026-04-27T23:07:34Z,,4,4,2026-04-27T23:07:34Z,2026-04-27T23:07:34Z,0.0,0.0,
bench/results/bench_matrix_20260427T234738Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_20260427T234738Z.json,pass,2026-04-27T23:47:38Z,20260427T234738Z,4,4,2026-04-27T23:47:38Z,2026-04-27T23:47:38Z,0.0,0.0,
bench/results/bench_matrix_20260427T234738Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,pass,2026-04-27T23:47:38Z,,4,4,2026-04-27T23:47:38Z,2026-04-27T23:47:38Z,0.0,0.0,
bench/results/bench_matrix_20260427T234738Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_20260427T234738Z.json,pass,2026-04-27T23:47:38Z,20260427T234738Z,4,4,2026-04-27T23:47:38Z,2026-04-27T23:47:38Z,0.0,0.0,
bench/results/bench_matrix_20260427T234738Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,pass,2026-04-27T23:47:38Z,,4,4,2026-04-27T23:47:38Z,2026-04-27T23:47:38Z,0.0,0.0,
bench/results/bench_matrix_20260428T000109Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_20260428T000110Z.json,pass,2026-04-28T00:01:10Z,20260428T000110Z,4,4,2026-04-28T00:01:10Z,2026-04-28T00:01:10Z,0.0,0.0,
bench/results/bench_matrix_20260428T000109Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,pass,2026-04-28T00:01:10Z,,4,4,2026-04-28T00:01:10Z,2026-04-28T00:01:10Z,0.0,0.0,
bench/results/bench_matrix_20260428T000109Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_20260428T000111Z.json,pass,2026-04-28T00:01:11Z,20260428T000111Z,4,4,2026-04-28T00:01:11Z,2026-04-28T00:01:11Z,0.0,0.0,
bench/results/bench_matrix_20260428T000109Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,pass,2026-04-28T00:01:11Z,,4,4,2026-04-28T00:01:11Z,2026-04-28T00:01:11Z,0.0,0.0,
bench/results/bench_matrix_20260428T023335Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_20260428T023336Z.json,pass,2026-04-28T02:33:36Z,20260428T023336Z,4,4,2026-04-28T02:33:35Z,2026-04-28T02:33:36Z,0.0,-1.0,
bench/results/bench_matrix_20260428T023335Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,pass,2026-04-28T02:33:36Z,,4,4,2026-04-28T02:33:35Z,2026-04-28T02:33:36Z,0.0,-1.0,
bench/results/bench_matrix_20260428T023335Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_20260428T023337Z.json,pass,2026-04-28T02:33:37Z,20260428T023337Z,4,4,2026-04-28T02:33:37Z,2026-04-28T02:33:37Z,0.0,0.0,
bench/results/bench_matrix_20260428T023335Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,pass,2026-04-28T02:33:37Z,,4,4,2026-04-28T02:33:37Z,2026-04-28T02:33:37Z,0.0,0.0,
bench/results/bench_matrix_20260428T035157Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_20260428T035203Z.json,pass,2026-04-28T03:52:03Z,20260428T035203Z,4,4,2026-04-28T03:52:03Z,2026-04-28T03:52:03Z,0.0,0.0,
bench/results/bench_matrix_20260428T035157Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,pass,2026-04-28T03:52:03Z,,4,4,2026-04-28T03:52:03Z,2026-04-28T03:52:03Z,0.0,0.0,
bench/results/bench_matrix_20260428T035157Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_20260428T035204Z.json,pass,2026-04-28T03:52:04Z,20260428T035204Z,4,4,2026-04-28T03:52:04Z,2026-04-28T03:52:04Z,0.0,0.0,
bench/results/bench_matrix_20260428T035157Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,pass,2026-04-28T03:52:04Z,,4,4,2026-04-28T03:52:04Z,2026-04-28T03:52:04Z,0.0,0.0,
bench/results/bench_matrix_20260428T062013Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_20260428T062014Z.json,pass,2026-04-28T06:20:14Z,20260428T062014Z,4,4,2026-04-28T06:20:14Z,2026-04-28T06:20:14Z,0.0,0.0,
bench/results/bench_matrix_20260428T062013Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,pass,2026-04-28T06:20:14Z,,4,4,2026-04-28T06:20:14Z,2026-04-28T06:20:14Z,0.0,0.0,
bench/results/bench_matrix_20260428T062013Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_20260428T062015Z.json,pass,2026-04-28T06:20:15Z,20260428T062015Z,4,4,2026-04-28T06:20:14Z,2026-04-28T06:20:15Z,0.0,-1.0,
bench/results/bench_matrix_20260428T062013Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,pass,2026-04-28T06:20:15Z,,4,4,2026-04-28T06:20:14Z,2026-04-28T06:20:15Z,0.0,-1.0,
bench/results/bench_matrix_20260428T105611Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_20260428T105613Z.json,pass,2026-04-28T10:56:13Z,20260428T105613Z,4,4,2026-04-28T10:56:12Z,2026-04-28T10:56:12Z,0.0,-1.0,
bench/results/bench_matrix_20260428T105611Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,pass,2026-04-28T10:56:13Z,,4,4,2026-04-28T10:56:12Z,2026-04-28T10:56:12Z,0.0,-1.0,
bench/results/bench_matrix_20260428T105611Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_20260428T105614Z.json,pass,2026-04-28T10:56:14Z,20260428T105614Z,4,4,2026-04-28T10:56:14Z,2026-04-28T10:56:14Z,0.0,0.0,
bench/results/bench_matrix_20260428T105611Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,pass,2026-04-28T10:56:14Z,,4,4,2026-04-28T10:56:14Z,2026-04-28T10:56:14Z,0.0,0.0,
