key,history_count,source,artifact_type,status,generated_at,profile,model,quantization,prompt_suite_sha256,command_sha256,launch_plan_sha256,environment_sha256,measured_runs,expected_token_prompts,expected_tokens_total,expected_tokens_matches,expected_tokens_mismatches,total_tokens,median_tok_per_s,wall_tok_per_s_median,us_per_token_median,wall_us_per_token_median,ttft_us_p95,host_child_tok_per_cpu_s_median,host_child_peak_rss_bytes_max,memory_bytes_per_token_median,memory_bytes_per_token_max,serial_output_bytes_total,serial_output_bytes_max,max_memory_bytes
ci-airgap-smoke/synthetic-smoke/Q4_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a/e415146c052b9f0baa23706ffde97548f2374f6601337823b4d810c39bed48e7/87148377012250dda7f1be10ab8c73ac784dd582df50f95013f6da0406443d6f/21a5fe5c0e2f1cbdfbc4f36f4a5326cb6145cbf77763b3401df2b5c1619f420d,3,bench/results/qemu_prompt_bench_20260429T102512Z.json,qemu_prompt,pass,2026-04-29T10:25:12Z,ci-airgap-smoke,synthetic-smoke,Q4_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,e415146c052b9f0baa23706ffde97548f2374f6601337823b4d810c39bed48e7,87148377012250dda7f1be10ab8c73ac784dd582df50f95013f6da0406443d6f,21a5fe5c0e2f1cbdfbc4f36f4a5326cb6145cbf77763b3401df2b5c1619f420d,6,,,0,0,240,160.0,676.0799919547803,6250.0,1525.8697916666665,12400.0,822.1260128150865,589824,1749674.6666666665,2099200.0,1290,215,67207168
ci-airgap-smoke/synthetic-smoke/Q4_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a/e415146c052b9f0baa23706ffde97548f2374f6601337823b4d810c39bed48e7/no-launch-plan/21a5fe5c0e2f1cbdfbc4f36f4a5326cb6145cbf77763b3401df2b5c1619f420d,4,bench/results/qemu_prompt_bench_20260429T024845Z.json,qemu_prompt,pass,2026-04-29T02:48:45Z,ci-airgap-smoke,synthetic-smoke,Q4_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,e415146c052b9f0baa23706ffde97548f2374f6601337823b4d810c39bed48e7,,21a5fe5c0e2f1cbdfbc4f36f4a5326cb6145cbf77763b3401df2b5c1619f420d,6,,,0,0,240,160.0,594.8180237988673,6250.0,1681.28125,12400.0,769.3308350086106,10354688,,,660,110,67207168
ci-airgap-smoke/synthetic-smoke/Q4_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a/no-command/no-launch-plan/199928d2258262b2ca80e491fc637902d45ca3695c316aef71615539bffafad7,8,bench/results/bench_matrix_20260428T035157Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,qemu_prompt,pass,2026-04-28T03:52:03Z,ci-airgap-smoke,synthetic-smoke,Q4_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,,,199928d2258262b2ca80e491fc637902d45ca3695c316aef71615539bffafad7,4,,,0,0,160,160.0,496.3618152141324,,,12400.0,,,,,,,67207168
ci-airgap-smoke/synthetic-smoke/Q4_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a/no-command/no-launch-plan/21a5fe5c0e2f1cbdfbc4f36f4a5326cb6145cbf77763b3401df2b5c1619f420d,1,bench/results/qemu_prompt_bench_20260428T035203Z.json,qemu_prompt,pass,2026-04-28T03:52:03Z,ci-airgap-smoke,synthetic-smoke,Q4_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,,,21a5fe5c0e2f1cbdfbc4f36f4a5326cb6145cbf77763b3401df2b5c1619f420d,4,,,0,0,160,160.0,496.53399111229237,,,12400.0,,,,,,,67207168
ci-airgap-smoke/synthetic-smoke/Q4_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a/no-command/no-launch-plan/fad0e7a1f326bc53b13c3332b33e0bd191fdc4e92444823af2592bea6a90ced8,1,bench/results/qemu_prompt_bench_20260428T053208Z.json,qemu_prompt,pass,2026-04-28T05:32:08Z,ci-airgap-smoke,synthetic-smoke,Q4_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,,,fad0e7a1f326bc53b13c3332b33e0bd191fdc4e92444823af2592bea6a90ced8,4,,,0,0,160,160.0,500.9107191776958,6250.0,1996.3697916666665,12400.0,,,,,,,67207168
ci-airgap-smoke/synthetic-smoke/Q4_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a/no-command/no-launch-plan/no-env,4,bench/results/bench_matrix_20260427T230733Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,qemu_prompt,pass,2026-04-27T23:07:34Z,ci-airgap-smoke,synthetic-smoke,Q4_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,,,,4,,,0,0,160,160.0,,,,,,,,,,,67207168
ci-airgap-smoke/synthetic-smoke/Q4_0/no-suite/no-command/no-launch-plan/no-env,4,bench/results/bench_matrix_20260427T183959Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,qemu_prompt,pass,2026-04-27T18:40:01Z,ci-airgap-smoke,synthetic-smoke,Q4_0,,,,,4,,,0,0,,160.0,,,,,,,,,,,67207168
ci-airgap-smoke/synthetic-smoke/Q8_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a/1fe7be915be8056f3459da4bb9d1300701c8c673df80addccc4b4a822b33b661/no-launch-plan/199928d2258262b2ca80e491fc637902d45ca3695c316aef71615539bffafad7,2,bench/results/bench_matrix_20260428T172755Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,qemu_prompt,pass,2026-04-28T17:27:56Z,ci-airgap-smoke,synthetic-smoke,Q8_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,1fe7be915be8056f3459da4bb9d1300701c8c673df80addccc4b4a822b33b661,,199928d2258262b2ca80e491fc637902d45ca3695c316aef71615539bffafad7,4,,,0,0,160,160.0,704.5695583266175,6250.0,1464.0833333333335,12400.0,919.3015179923077,13336576,,,,,67207168
ci-airgap-smoke/synthetic-smoke/Q8_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a/b38e17f8fe6b79397ba9c4cb6dc68ad1d24ed501d479195500b1d8eaf615640d/0e6e0a7f4f79bd3404fa242861cd90d1b5e7ec08fce24797dc36bddcb8535a86/199928d2258262b2ca80e491fc637902d45ca3695c316aef71615539bffafad7,2,bench/results/bench_matrix_20260429T094455Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,qemu_prompt,pass,2026-04-29T09:44:56Z,ci-airgap-smoke,synthetic-smoke,Q8_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,b38e17f8fe6b79397ba9c4cb6dc68ad1d24ed501d479195500b1d8eaf615640d,0e6e0a7f4f79bd3404fa242861cd90d1b5e7ec08fce24797dc36bddcb8535a86,199928d2258262b2ca80e491fc637902d45ca3695c316aef71615539bffafad7,4,,,0,0,160,160.0,741.7273624599818,6250.0,1361.703125,12400.0,855.8183912625502,458752,1749674.6666666665,2099200.0,860,215,67207168
ci-airgap-smoke/synthetic-smoke/Q8_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a/b38e17f8fe6b79397ba9c4cb6dc68ad1d24ed501d479195500b1d8eaf615640d/0e6e0a7f4f79bd3404fa242861cd90d1b5e7ec08fce24797dc36bddcb8535a86/no-env,1,bench/results/bench_matrix_latest.json,bench_matrix_cell,pass,2026-04-29T09:44:56Z,ci-airgap-smoke,synthetic-smoke,Q8_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,b38e17f8fe6b79397ba9c4cb6dc68ad1d24ed501d479195500b1d8eaf615640d,0e6e0a7f4f79bd3404fa242861cd90d1b5e7ec08fce24797dc36bddcb8535a86,,4,,,,,160,160.0,741.7273624599818,6250.0,1361.703125,12400.0,855.8183912625502,458752,,,,,67207168
ci-airgap-smoke/synthetic-smoke/Q8_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a/b38e17f8fe6b79397ba9c4cb6dc68ad1d24ed501d479195500b1d8eaf615640d/no-launch-plan/199928d2258262b2ca80e491fc637902d45ca3695c316aef71615539bffafad7,20,bench/results/bench_matrix_20260428T225257Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,qemu_prompt,pass,2026-04-28T22:52:57Z,ci-airgap-smoke,synthetic-smoke,Q8_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,b38e17f8fe6b79397ba9c4cb6dc68ad1d24ed501d479195500b1d8eaf615640d,,199928d2258262b2ca80e491fc637902d45ca3695c316aef71615539bffafad7,4,,,0,0,160,160.0,896.6050881233355,6250.0,1146.96875,12400.0,1021.7463286871321,458752,,,,,67207168
ci-airgap-smoke/synthetic-smoke/Q8_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a/no-command/no-launch-plan/199928d2258262b2ca80e491fc637902d45ca3695c316aef71615539bffafad7,8,bench/results/bench_matrix_20260428T035157Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,qemu_prompt,pass,2026-04-28T03:52:04Z,ci-airgap-smoke,synthetic-smoke,Q8_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,,,199928d2258262b2ca80e491fc637902d45ca3695c316aef71615539bffafad7,4,,,0,0,160,160.0,562.0817932785699,,,12400.0,,,,,,,67207168
ci-airgap-smoke/synthetic-smoke/Q8_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a/no-command/no-launch-plan/no-env,4,bench/results/bench_matrix_20260427T230733Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,qemu_prompt,pass,2026-04-27T23:07:34Z,ci-airgap-smoke,synthetic-smoke,Q8_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,,,,4,,,0,0,160,160.0,,,,,,,,,,,67207168
ci-airgap-smoke/synthetic-smoke/Q8_0/no-suite/no-command/no-launch-plan/no-env,4,bench/results/bench_matrix_20260427T183959Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,qemu_prompt,pass,2026-04-27T18:40:01Z,ci-airgap-smoke,synthetic-smoke,Q8_0,,,,,4,,,0,0,,160.0,,,,,,,,,,,67207168
synthetic-airgap-smoke/synthetic-smoke/Q4_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a/cd63fce9b104ed8c38566a736230f0f586e388a4959cc554564571547acc6e6a/no-launch-plan/21a5fe5c0e2f1cbdfbc4f36f4a5326cb6145cbf77763b3401df2b5c1619f420d,1,bench/results/qemu_prompt_bench_20260428T231320Z.json,qemu_prompt,pass,2026-04-28T23:13:20Z,synthetic-airgap-smoke,synthetic-smoke,Q4_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,cd63fce9b104ed8c38566a736230f0f586e388a4959cc554564571547acc6e6a,,21a5fe5c0e2f1cbdfbc4f36f4a5326cb6145cbf77763b3401df2b5c1619f420d,6,,,0,0,240,160.0,626.0538723100858,6250.0,1622.625,12400.0,777.6025132149398,15187968,,,,,67207168
synthetic-airgap-smoke/synthetic-smoke/Q4_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a/e415146c052b9f0baa23706ffde97548f2374f6601337823b4d810c39bed48e7/no-launch-plan/21a5fe5c0e2f1cbdfbc4f36f4a5326cb6145cbf77763b3401df2b5c1619f420d,8,bench/results/qemu_prompt_bench_20260429T012002Z.json,qemu_prompt,pass,2026-04-29T01:20:02Z,synthetic-airgap-smoke,synthetic-smoke,Q4_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,e415146c052b9f0baa23706ffde97548f2374f6601337823b4d810c39bed48e7,,21a5fe5c0e2f1cbdfbc4f36f4a5326cb6145cbf77763b3401df2b5c1619f420d,6,,,0,0,240,160.0,786.125813946996,6250.0,1288.9166666666665,12400.0,923.699982266683,12369920,,,,,67207168
synthetic-airgap-smoke/synthetic-smoke/Q4_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a/no-command/no-launch-plan/21a5fe5c0e2f1cbdfbc4f36f4a5326cb6145cbf77763b3401df2b5c1619f420d,8,bench/results/qemu_prompt_bench_20260428T051723Z.json,qemu_prompt,pass,2026-04-28T05:17:23Z,synthetic-airgap-smoke,synthetic-smoke,Q4_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,,,21a5fe5c0e2f1cbdfbc4f36f4a5326cb6145cbf77763b3401df2b5c1619f420d,6,,,0,0,240,160.0,476.88584927572657,6250.0,2337.6145833333335,12400.0,,,,,,,67207168
synthetic-airgap-smoke/synthetic-smoke/Q4_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a/no-command/no-launch-plan/no-env,4,bench/results/qemu_prompt_bench_20260427T231904Z.json,qemu_prompt,pass,2026-04-27T23:19:04Z,synthetic-airgap-smoke,synthetic-smoke,Q4_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,,,,6,,,0,0,240,160.0,,,,,,,,,,,67207168
synthetic-airgap-smoke/synthetic-smoke/Q4_0/no-suite/no-command/no-launch-plan/no-env,6,bench/results/qemu_prompt_bench_20260427T192232Z.json,qemu_prompt,pass,2026-04-27T19:22:32Z,synthetic-airgap-smoke,synthetic-smoke,Q4_0,,,,,6,,,0,0,240,160.0,,,,,,,,,,,67207168
