key,baseline_build,candidate_build,baseline_commit,candidate_commit,baseline_command_sha256,candidate_command_sha256,baseline_prompt_suite_sha256,candidate_prompt_suite_sha256,baseline_tok_per_s,candidate_tok_per_s,tok_per_s_delta_pct,baseline_tok_per_s_p05,candidate_tok_per_s_p05,tok_per_s_p05_delta_pct,baseline_wall_tok_per_s,candidate_wall_tok_per_s,wall_tok_per_s_delta_pct,baseline_wall_tok_per_s_p05,candidate_wall_tok_per_s_p05,wall_tok_per_s_p05_delta_pct,baseline_elapsed_us,candidate_elapsed_us,elapsed_delta_pct,baseline_ttft_us,candidate_ttft_us,ttft_delta_pct,baseline_us_per_token,candidate_us_per_token,us_per_token_delta_pct,baseline_wall_us_per_token,candidate_wall_us_per_token,wall_us_per_token_delta_pct,baseline_host_child_cpu_us,candidate_host_child_cpu_us,host_child_cpu_us_delta_pct,baseline_host_child_cpu_pct,candidate_host_child_cpu_pct,host_child_cpu_pct_delta_pct,baseline_host_child_tok_per_cpu_s,candidate_host_child_tok_per_cpu_s,host_child_tok_per_cpu_s_delta_pct,baseline_host_child_peak_rss_bytes,candidate_host_child_peak_rss_bytes,host_child_peak_rss_delta_pct,baseline_serial_output_bytes,candidate_serial_output_bytes,serial_output_delta_pct,baseline_memory_bytes,candidate_memory_bytes,memory_delta_pct,baseline_ok_runs,candidate_ok_runs
qemu_prompt/ci-airgap-smoke/synthetic-smoke/Q4_0/smoke-code,base,head,1bd6822f408f,7aae33645cab,e415146c052b9f0baa23706ffde97548f2374f6601337823b4d810c39bed48e7,e415146c052b9f0baa23706ffde97548f2374f6601337823b4d810c39bed48e7,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,160.0,160.0,0.0,160.0,160.0,0.0,501.3562467177337,639.9488040956724,27.643528585765683,388.9246108927861,567.8202209581771,45.99750312913642,300000.0,300000.0,0.0,12400.0,12400.0,0.0,6250.0,6250.0,0.0,2126.625,1562.625,-26.520895785575735,63473.5,51272.0,-19.22298281960188,65.43234532438478,68.3571980908194,4.47004115767894,758.301321710865,936.183491964425,23.45797971869885,589824,655360,11.11111111111111,,110,,67207168,67207168,0.0,2,3
qemu_prompt/ci-airgap-smoke/synthetic-smoke/Q4_0/smoke-short,base,head,1bd6822f408f,7aae33645cab,e415146c052b9f0baa23706ffde97548f2374f6601337823b4d810c39bed48e7,e415146c052b9f0baa23706ffde97548f2374f6601337823b4d810c39bed48e7,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,160.0,160.0,0.0,160.0,160.0,0.0,449.21989960075143,590.3514435937644,31.417028523991267,401.3488110783643,576.9276097433002,43.74718295369604,200000.0,200000.0,0.0,11600.0,11600.0,0.0,6250.0,6250.0,0.0,2257.734375,1693.90625,-24.973182463061004,53165.5,45624.0,-14.184950766944729,73.67986385125545,84.77442552952414,15.057793402911733,608.9989987249701,701.3852358407855,15.170178819544823,524288,10354688,1875.0,,110,,67174400,67174400,0.0,2,3
