source,artifact_type,status,generated_at,generated_age_seconds,profile,model,quantization,prompt_suite_sha256,command_sha256,prompts,measured_runs,warmup_runs,median_tok_per_s,max_memory_bytes,telemetry_status,telemetry_findings,command_hash_status,command_hash_findings,command_airgap_status,command_findings,commit,current_commit,current_commit_match,commit_status,commit_findings,freshness_status,freshness_findings
bench/results/bench_matrix_20260427T200249Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_20260427T200250Z.json,qemu_prompt,pass,2026-04-27T20:02:50Z,44450,ci-airgap-smoke,synthetic-smoke,Q4_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,,2,4,2,160.0,67207168,pass,[],unknown,"[""qemu_prompt: missing command_sha256 metadata""]",pass,[],786eee1bfa27,1abdb9dfaa55,False,pass,[],unchecked,[]
bench/results/bench_matrix_20260427T200249Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,qemu_prompt,pass,2026-04-27T20:02:50Z,44450,ci-airgap-smoke,synthetic-smoke,Q4_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,,2,4,2,160.0,67207168,pass,[],unknown,"[""qemu_prompt: missing command_sha256 metadata""]",pass,[],786eee1bfa27,1abdb9dfaa55,False,pass,[],unchecked,[]
bench/results/bench_matrix_20260427T200249Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_20260427T200250Z.json,qemu_prompt,pass,2026-04-27T20:02:50Z,44450,ci-airgap-smoke,synthetic-smoke,Q8_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,,2,4,2,160.0,67207168,pass,[],unknown,"[""qemu_prompt: missing command_sha256 metadata""]",pass,[],786eee1bfa27,1abdb9dfaa55,False,pass,[],unchecked,[]
bench/results/bench_matrix_20260427T200249Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,qemu_prompt,pass,2026-04-27T20:02:50Z,44450,ci-airgap-smoke,synthetic-smoke,Q8_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,,2,4,2,160.0,67207168,pass,[],unknown,"[""qemu_prompt: missing command_sha256 metadata""]",pass,[],786eee1bfa27,1abdb9dfaa55,False,pass,[],unchecked,[]
bench/results/qemu_prompt_bench_20260427T220828Z.json,qemu_prompt,pass,2026-04-27T22:08:28Z,36912,synthetic-airgap-smoke,synthetic-smoke,Q4_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,,2,6,0,160.0,67207168,pass,[],unknown,"[""qemu_prompt: missing command_sha256 metadata""]",pass,[],b5c013b1b596,1abdb9dfaa55,False,pass,[],unchecked,[]
bench/results/qemu_prompt_bench_20260427T221951Z.json,qemu_prompt,pass,2026-04-27T22:19:51Z,36229,synthetic-airgap-smoke,synthetic-smoke,Q4_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,,2,6,0,160.0,67207168,pass,[],unknown,"[""qemu_prompt: missing command_sha256 metadata""]",pass,[],ea55b6ea98dd,1abdb9dfaa55,False,pass,[],unchecked,[]
bench/results/bench_matrix_20260427T230733Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_20260427T230734Z.json,qemu_prompt,pass,2026-04-27T23:07:34Z,33366,ci-airgap-smoke,synthetic-smoke,Q4_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,,2,4,2,160.0,67207168,pass,[],unknown,"[""qemu_prompt: missing command_sha256 metadata""]",pass,[],bf852f741851,1abdb9dfaa55,False,pass,[],unchecked,[]
bench/results/bench_matrix_20260427T230733Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,qemu_prompt,pass,2026-04-27T23:07:34Z,33366,ci-airgap-smoke,synthetic-smoke,Q4_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,,2,4,2,160.0,67207168,pass,[],unknown,"[""qemu_prompt: missing command_sha256 metadata""]",pass,[],bf852f741851,1abdb9dfaa55,False,pass,[],unchecked,[]
bench/results/bench_matrix_20260427T230733Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_20260427T230734Z.json,qemu_prompt,pass,2026-04-27T23:07:34Z,33366,ci-airgap-smoke,synthetic-smoke,Q8_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,,2,4,2,160.0,67207168,pass,[],unknown,"[""qemu_prompt: missing command_sha256 metadata""]",pass,[],bf852f741851,1abdb9dfaa55,False,pass,[],unchecked,[]
bench/results/bench_matrix_20260427T230733Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,qemu_prompt,pass,2026-04-27T23:07:34Z,33366,ci-airgap-smoke,synthetic-smoke,Q8_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,,2,4,2,160.0,67207168,pass,[],unknown,"[""qemu_prompt: missing command_sha256 metadata""]",pass,[],bf852f741851,1abdb9dfaa55,False,pass,[],unchecked,[]
bench/results/qemu_prompt_bench_20260427T231904Z.json,qemu_prompt,pass,2026-04-27T23:19:04Z,32676,synthetic-airgap-smoke,synthetic-smoke,Q4_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,,2,6,0,160.0,67207168,pass,[],unknown,"[""qemu_prompt: missing command_sha256 metadata""]",pass,[],36f90ed16742,1abdb9dfaa55,False,pass,[],unchecked,[]
bench/results/qemu_prompt_bench_20260427T233253Z.json,qemu_prompt,pass,2026-04-27T23:32:53Z,31847,synthetic-airgap-smoke,synthetic-smoke,Q4_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,,2,6,0,160.0,67207168,pass,[],unknown,"[""qemu_prompt: missing command_sha256 metadata""]",pass,[],b1e55ed7d43f,1abdb9dfaa55,False,pass,[],unchecked,[]
bench/results/qemu_prompt_bench_20260427T234033Z.json,qemu_prompt,pass,2026-04-27T23:40:33Z,31387,synthetic-airgap-smoke,synthetic-smoke,Q4_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,,2,6,0,160.0,67207168,pass,[],unknown,"[""qemu_prompt: missing command_sha256 metadata""]",pass,[],4981d42b1a52,1abdb9dfaa55,False,pass,[],unchecked,[]
bench/results/bench_matrix_20260427T234738Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_20260427T234738Z.json,qemu_prompt,pass,2026-04-27T23:47:38Z,30962,ci-airgap-smoke,synthetic-smoke,Q4_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,,2,4,2,160.0,67207168,pass,[],unknown,"[""qemu_prompt: missing command_sha256 metadata""]",pass,[],bb8266801970,1abdb9dfaa55,False,pass,[],unchecked,[]
bench/results/bench_matrix_20260427T234738Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,qemu_prompt,pass,2026-04-27T23:47:38Z,30962,ci-airgap-smoke,synthetic-smoke,Q4_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,,2,4,2,160.0,67207168,pass,[],unknown,"[""qemu_prompt: missing command_sha256 metadata""]",pass,[],bb8266801970,1abdb9dfaa55,False,pass,[],unchecked,[]
