key,measured_source,generated_at,candidate_dry_run_count,candidate_dry_run_sources
synthetic-airgap-smoke/synthetic-smoke/Q4_0/no-suite/no-command/no-launch-plan/no-env,bench/results/qemu_prompt_bench_20260427T144137Z.json,2026-04-27T14:41:37Z,0,[]
synthetic-airgap-smoke/synthetic-smoke/Q4_0/no-suite/no-command/no-launch-plan/no-env,bench/results/qemu_prompt_bench_20260427T161259Z.json,2026-04-27T16:12:59Z,0,[]
synthetic-airgap-smoke/synthetic-smoke/Q4_0/no-suite/no-command/no-launch-plan/no-env,bench/results/qemu_prompt_bench_20260427T170437Z.json,2026-04-27T17:04:37Z,0,[]
synthetic-airgap-smoke/synthetic-smoke/Q4_0/no-suite/no-command/no-launch-plan/no-env,bench/results/qemu_prompt_bench_20260427T172021Z.json,2026-04-27T17:20:21Z,0,[]
synthetic-airgap-smoke/synthetic-smoke/Q4_0/no-suite/no-command/no-launch-plan/no-env,bench/results/qemu_prompt_bench_20260427T180219Z.json,2026-04-27T18:02:19Z,0,[]
ci-airgap-smoke/synthetic-smoke/Q4_0/no-suite/no-command/no-launch-plan/no-env,bench/results/bench_matrix_20260427T182910Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_20260427T182911Z.json,2026-04-27T18:29:11Z,0,[]
ci-airgap-smoke/synthetic-smoke/Q4_0/no-suite/no-command/no-launch-plan/no-env,bench/results/bench_matrix_20260427T182910Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,2026-04-27T18:29:11Z,0,[]
ci-airgap-smoke/synthetic-smoke/Q8_0/no-suite/no-command/no-launch-plan/no-env,bench/results/bench_matrix_20260427T182910Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_20260427T182911Z.json,2026-04-27T18:29:11Z,0,[]
ci-airgap-smoke/synthetic-smoke/Q8_0/no-suite/no-command/no-launch-plan/no-env,bench/results/bench_matrix_20260427T182910Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,2026-04-27T18:29:11Z,0,[]
ci-airgap-smoke/synthetic-smoke/Q4_0/no-suite/no-command/no-launch-plan/no-env,bench/results/bench_matrix_20260427T183959Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_20260427T184001Z.json,2026-04-27T18:40:01Z,0,[]
ci-airgap-smoke/synthetic-smoke/Q4_0/no-suite/no-command/no-launch-plan/no-env,bench/results/bench_matrix_20260427T183959Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,2026-04-27T18:40:01Z,0,[]
ci-airgap-smoke/synthetic-smoke/Q8_0/no-suite/no-command/no-launch-plan/no-env,bench/results/bench_matrix_20260427T183959Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_20260427T184001Z.json,2026-04-27T18:40:01Z,0,[]
ci-airgap-smoke/synthetic-smoke/Q8_0/no-suite/no-command/no-launch-plan/no-env,bench/results/bench_matrix_20260427T183959Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,2026-04-27T18:40:01Z,0,[]
synthetic-airgap-smoke/synthetic-smoke/Q4_0/no-suite/no-command/no-launch-plan/no-env,bench/results/qemu_prompt_bench_20260427T192232Z.json,2026-04-27T19:22:32Z,0,[]
synthetic-airgap-smoke/synthetic-smoke/Q4_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a/no-command/no-launch-plan/no-env,bench/results/qemu_prompt_bench_20260427T200233Z.json,2026-04-27T20:02:33Z,0,[]
ci-airgap-smoke/synthetic-smoke/Q4_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a/no-command/no-launch-plan/no-env,bench/results/bench_matrix_20260427T200249Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_20260427T200250Z.json,2026-04-27T20:02:50Z,0,[]
ci-airgap-smoke/synthetic-smoke/Q4_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a/no-command/no-launch-plan/no-env,bench/results/bench_matrix_20260427T200249Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,2026-04-27T20:02:50Z,0,[]
ci-airgap-smoke/synthetic-smoke/Q8_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a/no-command/no-launch-plan/no-env,bench/results/bench_matrix_20260427T200249Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_20260427T200250Z.json,2026-04-27T20:02:50Z,0,[]
