scope,profile,model,quantization,status,cells,passing_cells,failing_cells,planned_cells,prompts,prompt_bytes_total,prompt_bytes_min,prompt_bytes_max,total_tokens,total_elapsed_us,measured_runs,warmup_runs,median_tok_per_s_min,median_tok_per_s_median,median_tok_per_s_max,wall_tok_per_s_median,ttft_us_p95_max,host_overhead_pct_median,host_child_cpu_pct_median,host_child_tok_per_cpu_s_median,host_child_peak_rss_bytes_max,us_per_token_median,wall_us_per_token_median,max_memory_bytes,variability_findings
matrix,,,,pass,2,2,0,0,4,240,49,71,320,2000000,8,4,160.0,160.0,160.0,78.73662156673905,12400.0,106.41529166666668,9.92348129985385,804.6570655012578,18432000,6250.0,12900.955729166668,67207168,0
cell,ci-airgap-smoke,synthetic-smoke,Q4_0,pass,1,1,0,0,2,120,49,71,160,1000000,4,2,160.0,160.0,160.0,75.47663673282621,12400.0,116.87866666666667,10.061881886769683,749.7464089795824,18432000,6250.0,13554.916666666668,67207168,0
cell,ci-airgap-smoke,synthetic-smoke,Q8_0,pass,1,1,0,0,2,120,49,71,160,1000000,4,2,160.0,160.0,160.0,81.99660640065187,12400.0,95.95191666666668,9.785080712938019,859.5677220229331,18366464,6250.0,12246.994791666668,67207168,0
