profile,model,quantization,commit,status,output_dir,report,command_sha256,launch_plan_sha256,prompts,prompt_suite_sha256,prompt_bytes_total,prompt_bytes_min,prompt_bytes_max,total_tokens,total_elapsed_us,measured_runs,warmup_runs,median_tok_per_s,wall_tok_per_s_median,ttft_us_p95,host_overhead_pct_median,host_child_cpu_us_median,host_child_cpu_pct_median,host_child_tok_per_cpu_s_median,host_child_peak_rss_bytes_max,us_per_token_median,wall_us_per_token_median,max_memory_bytes,variability_findings,command
ci-airgap-smoke,synthetic-smoke,Q4_0,b397ba037624,pass,bench/results/bench_matrix_20260429T094455Z/ci-airgap-smoke_synthetic-smoke_Q4_0,bench/results/bench_matrix_20260429T094455Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,b38e17f8fe6b79397ba9c4cb6dc68ad1d24ed501d479195500b1d8eaf615640d,0e6e0a7f4f79bd3404fa242861cd90d1b5e7ec08fce24797dc36bddcb8535a86,2,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,120,49,71,160,1000000,4,2,160.0,610.2771864682886,12400.0,-72.66183333333333,57410.0,87.54550608387382,696.5403297466232,589824,6250.0,1708.6354166666665,67207168,0,"[""/Users/danielmatthews-ferrero/Documents/worktrees/holyc-gpt55/bench/fixtures/qemu_synthetic_bench.py"",""-nic"",""none"",""-serial"",""stdio"",""-display"",""none"",""-drive"",""file=/tmp/TempleOS.synthetic.img,format=raw,if=ide"",""-m"",""256M"",""-smp"",""1""]"
ci-airgap-smoke,synthetic-smoke,Q8_0,b397ba037624,pass,bench/results/bench_matrix_20260429T094455Z/ci-airgap-smoke_synthetic-smoke_Q8_0,bench/results/bench_matrix_20260429T094455Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,b38e17f8fe6b79397ba9c4cb6dc68ad1d24ed501d479195500b1d8eaf615640d,0e6e0a7f4f79bd3404fa242861cd90d1b5e7ec08fce24797dc36bddcb8535a86,2,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,120,49,71,160,1000000,4,2,160.0,741.7273624599818,12400.0,-78.21275,43943.0,86.77005822905193,855.8183912625502,458752,6250.0,1361.703125,67207168,0,"[""/Users/danielmatthews-ferrero/Documents/worktrees/holyc-gpt55/bench/fixtures/qemu_synthetic_bench.py"",""-nic"",""none"",""-serial"",""stdio"",""-display"",""none"",""-drive"",""file=/tmp/TempleOS.synthetic.img,format=raw,if=ide"",""-m"",""256M"",""-smp"",""1""]"
