scope,prompt,prompt_bytes,prompts,runs,ok_runs,failed_runs,ok_run_pct,timed_out_runs,nonzero_exit_runs,tokens_median,total_tokens,elapsed_us_median,total_elapsed_us,wall_elapsed_us_median,wall_elapsed_us_p95,total_wall_elapsed_us,host_overhead_us_median,host_overhead_pct_median,host_child_cpu_us_median,host_child_cpu_pct_median,host_child_tok_per_cpu_s_median,host_child_peak_rss_bytes_max,ttft_us_median,ttft_us_p95,tok_per_s_min,tok_per_s_p05,tok_per_s_median,tok_per_s_stdev,tok_per_s_cv_pct,tok_per_s_iqr_pct,tok_per_s_p05_p95_spread_pct,tok_per_s_p95,tok_per_s_max,wall_tok_per_s_p05,wall_tok_per_s_median,wall_tok_per_s_p95,wall_tok_per_s_iqr_pct,wall_tok_per_s_p05_p95_spread_pct,prompt_bytes_per_s_median,wall_prompt_bytes_per_s_median,tokens_per_prompt_byte_median,us_per_token_median,us_per_token_p95,wall_us_per_token_median,wall_us_per_token_p95,memory_bytes_max,memory_bytes_per_token_median,memory_bytes_per_token_max,serial_output_bytes_total,serial_output_bytes_max,serial_output_lines_total,serial_output_lines_max,guest_prompt_sha256_records,guest_prompt_sha256_matches,guest_prompt_sha256_mismatches,guest_prompt_bytes_records,guest_prompt_bytes_matches,guest_prompt_bytes_mismatches
suite,,240,2,4,4,0,100.0,0,0,,160,,1000000,59552.0,67102.3,241360,-188872.0,-75.07058333333333,48028.5,81.02178323368197,806.7510398040762,589824,12000.0,12400.0,160.0,160.0,160.0,0.0,0.0,0.0,0.0,160.0,160.0,511.5419342055119,647.7712341037341,849.5599008613735,28.88837387901944,52.18168835847556,240.83333333333331,973.4126801108644,0.6645587812589824,6250.0,6250.0,1558.0885416666665,1961.3625,67207168,1749674.6666666665,2099200.0,860,215,4,1,4,4,0,4,4,0
prompt,smoke-code,71,,2,2,0,100.0,0,0,48.0,,300000.0,,61261.0,66979.6,,-238739.0,-79.57966666666667,49296.5,80.96982218335206,975.6263201870697,573440,12400.0,12400.0,160.0,160.0,160.0,0.0,0.0,0.0,0.0,,160.0,718.1168403258429,792.0535618770789,865.9902834283148,10.372014821827927,18.66962667929026,236.66666666666666,1171.579226943179,0.676056338028169,6250.0,6250.0,1276.2708333333333,1395.4083333333333,67207168,1400149.3333333333,1400149.3333333333,430,215,2,1,2,2,0,2,2,0
prompt,smoke-short,49,,2,2,0,100.0,0,0,32.0,,200000.0,,59419.0,63719.2,,-140581.0,-70.29050000000001,47962.5,81.1098193455762,667.4714263714866,589824,11600.0,11600.0,160.0,160.0,160.0,0.0,0.0,0.0,0.0,,160.0,502.8244183279138,542.0532397771053,581.2820612262967,8.041198943099014,14.474158097578208,245.0,830.0190234086924,0.6530612244897959,6250.0,6250.0,1856.84375,1991.225,67174400,2099200.0,2099200.0,430,215,2,1,2,2,0,2,2,0
