row_type,prompt_id,sha256,bytes,chars,lines,severity,message
prompt,smoke-short,8b1a97085df1b00a3d726b492997598fd4bd640080566602f9de113f29a4e7d4,49,49,1,,
prompt,smoke-code,587c04a07a905d3852e39d6ac74a8db16c707622e7db66c642ee841caaab9091,71,71,1,,
