generated_at,command_sha256,command_airgap_ok,command_has_explicit_nic_none,command_has_legacy_net_none,command_airgap_violations,launch_plan_sha256,expected_launch_sequence_sha256,observed_launch_sequence_sha256,launch_index,phase,prompt,prompt_sha256,guest_prompt_sha256,guest_prompt_sha256_match,prompt_bytes,guest_prompt_bytes,guest_prompt_bytes_match,iteration,returncode,timed_out,exit_class,failure_reason,tokens,expected_tokens,expected_tokens_match,elapsed_us,wall_elapsed_us,timeout_seconds,wall_timeout_pct,tok_per_s,wall_tok_per_s,memory_bytes,serial_output_bytes,serial_output_lines
2026-04-29T20:32:25Z,633b78c56d2f2d5c6739b10ca9b48d66a6bb83328887ac7aceabb4ab48fd1c96,True,True,False,,1984f18af8d221fea7e13bfa2403bd87662cb633f728095187b698a10b4f99c5,b2700d55880665cd3be86418a939e5ca949f7df4e2ecc60705a1b3909c9f1f0d,b2700d55880665cd3be86418a939e5ca949f7df4e2ecc60705a1b3909c9f1f0d,1,warmup,smoke-short,8b1a97085df1b00a3d726b492997598fd4bd640080566602f9de113f29a4e7d4,8b1a97085df1b00a3d726b492997598fd4bd640080566602f9de113f29a4e7d4,True,49,49,True,1,0,False,ok,,32,32,True,200000,69222,5.0,1.38444,160.0,462.2807777874086,67174400,215,1
2026-04-29T20:32:25Z,633b78c56d2f2d5c6739b10ca9b48d66a6bb83328887ac7aceabb4ab48fd1c96,True,True,False,,1984f18af8d221fea7e13bfa2403bd87662cb633f728095187b698a10b4f99c5,b2700d55880665cd3be86418a939e5ca949f7df4e2ecc60705a1b3909c9f1f0d,b2700d55880665cd3be86418a939e5ca949f7df4e2ecc60705a1b3909c9f1f0d,2,warmup,smoke-code,587c04a07a905d3852e39d6ac74a8db16c707622e7db66c642ee841caaab9091,587c04a07a905d3852e39d6ac74a8db16c707622e7db66c642ee841caaab9091,True,71,71,True,1,0,False,ok,,48,48,True,300000,67800,5.0,1.356,160.0,707.9646017699115,67207168,215,1
2026-04-29T20:32:25Z,633b78c56d2f2d5c6739b10ca9b48d66a6bb83328887ac7aceabb4ab48fd1c96,True,True,False,,1984f18af8d221fea7e13bfa2403bd87662cb633f728095187b698a10b4f99c5,b2700d55880665cd3be86418a939e5ca949f7df4e2ecc60705a1b3909c9f1f0d,b2700d55880665cd3be86418a939e5ca949f7df4e2ecc60705a1b3909c9f1f0d,3,measured,smoke-short,8b1a97085df1b00a3d726b492997598fd4bd640080566602f9de113f29a4e7d4,8b1a97085df1b00a3d726b492997598fd4bd640080566602f9de113f29a4e7d4,True,49,49,True,1,0,False,ok,,32,32,True,200000,62552,5.0,1.25104,160.0,511.57437012405677,67174400,215,1
2026-04-29T20:32:25Z,633b78c56d2f2d5c6739b10ca9b48d66a6bb83328887ac7aceabb4ab48fd1c96,True,True,False,,1984f18af8d221fea7e13bfa2403bd87662cb633f728095187b698a10b4f99c5,b2700d55880665cd3be86418a939e5ca949f7df4e2ecc60705a1b3909c9f1f0d,b2700d55880665cd3be86418a939e5ca949f7df4e2ecc60705a1b3909c9f1f0d,4,measured,smoke-short,8b1a97085df1b00a3d726b492997598fd4bd640080566602f9de113f29a4e7d4,8b1a97085df1b00a3d726b492997598fd4bd640080566602f9de113f29a4e7d4,True,49,49,True,2,0,False,ok,,32,32,True,200000,65300,5.0,1.306,160.0,490.0459418070444,67174400,215,1
2026-04-29T20:32:25Z,633b78c56d2f2d5c6739b10ca9b48d66a6bb83328887ac7aceabb4ab48fd1c96,True,True,False,,1984f18af8d221fea7e13bfa2403bd87662cb633f728095187b698a10b4f99c5,b2700d55880665cd3be86418a939e5ca949f7df4e2ecc60705a1b3909c9f1f0d,b2700d55880665cd3be86418a939e5ca949f7df4e2ecc60705a1b3909c9f1f0d,5,measured,smoke-code,587c04a07a905d3852e39d6ac74a8db16c707622e7db66c642ee841caaab9091,587c04a07a905d3852e39d6ac74a8db16c707622e7db66c642ee841caaab9091,True,71,71,True,1,0,False,ok,,48,48,True,300000,86724,5.0,1.73448,160.0,553.4800055348001,67207168,215,1
2026-04-29T20:32:25Z,633b78c56d2f2d5c6739b10ca9b48d66a6bb83328887ac7aceabb4ab48fd1c96,True,True,False,,1984f18af8d221fea7e13bfa2403bd87662cb633f728095187b698a10b4f99c5,b2700d55880665cd3be86418a939e5ca949f7df4e2ecc60705a1b3909c9f1f0d,b2700d55880665cd3be86418a939e5ca949f7df4e2ecc60705a1b3909c9f1f0d,6,measured,smoke-code,587c04a07a905d3852e39d6ac74a8db16c707622e7db66c642ee841caaab9091,587c04a07a905d3852e39d6ac74a8db16c707622e7db66c642ee841caaab9091,True,71,71,True,2,0,False,ok,,48,48,True,300000,98057,5.0,1.96114,160.0,489.5112026678361,67207168,215,1
