source,profile,model,quantization,prompt,commit,warmups,measured,measured_ok,total,min_row,max_row
bench/results/qemu_prompt_bench_latest.json,ci-airgap-smoke,synthetic-smoke,Q4_0,smoke-code,a70776642a09,1,2,2,3,2,6
bench/results/qemu_prompt_bench_latest.json,ci-airgap-smoke,synthetic-smoke,Q4_0,smoke-short,a70776642a09,1,2,2,3,1,4
