source,artifact_type,status,dataset,split,record_count,license,source_name,source_version,output,binary_sha256,source_sha256,answer_histogram,findings
bench/results/datasets/smoke_curated.manifest.json,curated_manifest,pass,"arc-smoke,hellaswag-smoke,truthfulqa-smoke",validation,3,synthetic-smoke,smoke-eval,synthetic,bench/results/datasets/smoke_curated.jsonl,,a1389d4ed5197eb9db0bd39b60137dc3750e2ba9a9c1a151d836e9f0a28094f3,"{""0"":3}",[]
bench/results/datasets/smoke_curated.inspect.json,inspect_report,pass,smoke-eval,validation,3,,smoke-eval,,bench/results/datasets/smoke_curated.hceval,4e6bc1f1abd8af9a5d109d651a481b456748a2ac78dddeb5510d2780c54bec76,5f9c087754146521869de5e1b1d207094a042aa9459f28743b361fa986cdc5f4,"{""0"":3}",[]
bench/results/datasets/smoke_eval.inspect.json,inspect_report,pass,smoke-eval,validation,3,,smoke-eval,,bench/results/datasets/smoke_eval.hceval,5d961b26360f3181caa5d0e05a4ba49fbb99ad53aa0b07bd56c742034d4f782f,454a4036ea4020c0c8a1ee3485ccfe07a53483dfbeb0600d78684b874ad56003,"{""0"":3}",[]
bench/results/datasets/smoke_curated.hceval.manifest.json,pack_manifest,pass,smoke-eval,validation,3,,smoke-eval,,bench/results/datasets/smoke_curated.hceval,4e6bc1f1abd8af9a5d109d651a481b456748a2ac78dddeb5510d2780c54bec76,5f9c087754146521869de5e1b1d207094a042aa9459f28743b361fa986cdc5f4,"{""0"":3}",[]
bench/results/datasets/smoke_eval.manifest.json,pack_manifest,pass,smoke-eval,validation,3,,smoke-eval,,bench/results/datasets/smoke_eval.hceval,5d961b26360f3181caa5d0e05a4ba49fbb99ad53aa0b07bd56c742034d4f782f,454a4036ea4020c0c8a1ee3485ccfe07a53483dfbeb0600d78684b874ad56003,"{""0"":3}",[]
